amfi_code,scheme_name,fund_house,cagr_3yr_pct,sharpe_ratio_computed,alpha_ann_pct,expense_ratio_pct,max_drawdown_pct_computed,rank_return,rank_sharpe,rank_alpha,rank_expense_inv,rank_maxdd_inv,fund_score
148567,Mirae Asset Large Cap Fund - Regular - Growth,Mirae Asset MF,34.0,1.448,26.984,1.46,-11.27,97.5,100.0,85.0,45.0,82.5,86.2
120505,ICICI Pru Midcap Fund - Regular - Growth,ICICI Prudential MF,31.78,1.18,29.264,1.36,-18.19,90.0,90.0,95.0,65.0,40.0,82.2
120843,Kotak Flexicap Fund - Regular - Growth,Kotak Mahindra MF,29.58,1.307,27.33,1.45,-12.97,85.0,97.5,90.0,47.5,70.0,82.0
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,HDFC Mutual Fund,32.44,1.094,27.195,1.38,-16.22,92.5,85.0,87.5,60.0,52.5,80.8
120504,ICICI Pru Bluechip Fund - Direct - Growth,ICICI Prudential MF,32.49,1.027,21.195,0.8,-12.59,95.0,78.75,70.0,72.5,72.5,80.3
119094,Axis Midcap Fund - Regular - Growth,Axis Mutual Fund,35.11,0.998,26.077,1.38,-20.96,100.0,75.0,80.0,60.0,32.5,77.0
119551,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,30.46,1.208,23.201,1.54,-15.01,87.5,92.5,77.5,26.25,60.0,74.8
148569,Mirae Asset Tax Saver Fund - Regular - Growth,Mirae Asset MF,29.18,1.235,28.27,1.6,-16.4,82.5,95.0,92.5,11.25,50.0,73.7
101206,ABSL Frontline Equity Fund - Regular - Growth,Aditya Birla Sun Life MF,28.97,1.027,21.4,1.6,-11.29,80.0,78.75,72.5,11.25,80.0,67.9
119598,SBI Small Cap Fund - Regular Plan - Growth,SBI Mutual Fund,26.67,0.945,30.337,1.43,-28.71,72.5,67.5,100.0,50.0,12.5,67.4
149323,DSP Midcap Fund - Regular - Growth,DSP Mutual Fund,26.87,1.132,26.599,1.61,-17.25,75.0,87.5,82.5,7.5,47.5,66.8
149324,DSP Small Cap Fund - Regular - Growth,DSP Mutual Fund,27.0,0.95,30.058,1.52,-31.17,77.5,70.0,97.5,36.25,10.0,66.7
118632,Nippon India Large Cap Fund - Regular - Growth,Nippon India MF,22.65,1.082,21.829,1.51,-17.41,67.5,82.5,75.0,41.25,45.0,66.6
119552,SBI Bluechip Fund - Direct Plan - Growth,SBI Mutual Fund,16.27,0.953,19.869,0.66,-11.8,45.0,72.5,65.0,92.5,75.0,66.0
125497,HDFC Top 100 Fund - Direct Plan - Growth,HDFC Mutual Fund,18.43,0.776,17.73,0.92,-15.2,55.00000000000001,57.49999999999999,62.5,67.5,57.49999999999999,59.2
118635,Nippon India ETF Nifty 50 BeES,Nippon India MF,20.01,0.665,15.136,0.89,-11.65,60.0,55.00000000000001,45.0,70.0,77.5,59.0
118633,Nippon India Large Cap Fund - Direct - Growth,Nippon India MF,21.09,0.645,15.644,0.72,-18.63,65.0,50.0,47.5,88.75,37.5,58.6
102885,UTI Nifty 50 Index Fund - Regular - Growth,UTI Mutual Fund,19.67,0.817,17.049,1.57,-10.86,57.49999999999999,62.5,55.00000000000001,17.5,85.0,55.0
120503,ICICI Pru Bluechip Fund - Regular - Growth,ICICI Prudential MF,13.98,0.798,17.703,1.42,-13.9,40.0,60.0,60.0,52.5,67.5,53.6
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Mirae Asset MF,14.75,0.926,20.873,1.52,-15.27,42.5,65.0,67.5,36.25,55.00000000000001,53.4
120506,ICICI Pru Value Discovery Fund - Regular - Growth,ICICI Prudential MF,18.42,0.649,16.254,1.41,-19.83,52.5,52.5,52.5,55.00000000000001,35.0,51.1
120507,ICICI Pru Liquid Fund - Regular - Growth,ICICI Prudential MF,7.39,0.496,6.746,0.74,-0.1,30.0,45.0,25.0,85.0,100.0,48.0
119093,Axis Bluechip Fund - Direct - Growth,Axis Mutual Fund,20.82,0.13,8.233,0.75,-21.75,62.5,30.0,32.5,82.5,25.0,47.6
102887,UTI Flexi Cap Fund - Regular - Growth,UTI Mutual Fund,25.56,0.62,16.211,1.64,-21.54,70.0,47.5,50.0,3.75,27.500000000000004,46.2
149322,DSP Top 100 Equity Fund - Regular - Growth,DSP Mutual Fund,18.04,0.464,13.173,1.54,-14.84,50.0,40.0,42.5,26.25,62.5,43.7
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,HDFC Mutual Fund,11.25,0.301,11.989,0.78,-21.12,37.5,35.0,37.5,77.5,30.0,42.1
120844,Kotak Liquid Fund - Regular - Growth,Kotak Mahindra MF,6.7,-0.089,6.456,0.6,-0.12,27.500000000000004,17.5,22.5,95.0,97.5,41.1
120841,Kotak Bluechip Fund - Regular - Growth,Kotak Mahindra MF,17.27,0.494,13.043,1.59,-17.57,47.5,42.5,40.0,15.0,42.5,39.4
118634,Nippon India Small Cap Fund - Regular - Growth,Nippon India MF,8.01,0.448,17.501,1.53,-23.34,35.0,37.5,57.49999999999999,31.25,22.5,38.3
118636,Nippon India Gilt Securities Fund - Regular - Growth,Nippon India MF,4.06,-0.357,5.075,0.55,-8.32,20.0,7.5,15.0,100.0,87.5,34.6
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,SBI Mutual Fund,5.84,-0.227,5.621,0.77,-4.33,22.5,10.0,17.5,80.0,90.0,33.8
101208,ABSL Liquid Fund - Regular - Growth,Aditya Birla Sun Life MF,6.32,-0.816,6.086,0.79,-0.16,25.0,2.5,20.0,75.0,95.0,32.9
100025,HDFC Short Term Debt Fund - Regular - Growth,HDFC Mutual Fund,3.92,-0.567,4.282,0.56,-4.31,17.5,5.0,7.5,97.5,92.5,31.9
120842,Kotak Emerging Equity Fund - Regular - Growth,Kotak Mahindra MF,7.76,0.076,7.804,1.56,-24.0,32.5,27.500000000000004,30.0,20.0,20.0,27.6
119599,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,-1.34,-0.057,4.882,0.72,-52.57,7.5,22.5,12.5,88.75,2.5,23.9
119092,Axis Bluechip Fund - Regular - Growth,Axis Mutual Fund,0.53,0.031,6.9,1.64,-14.4,12.5,25.0,27.500000000000004,3.75,65.0,22.6
101207,ABSL Small Cap Fund - Regular - Growth,Aditya Birla Sun Life MF,-4.15,0.163,10.897,1.53,-35.45,5.0,32.5,35.0,31.25,7.5,22.1
119095,Axis Small Cap Fund - Regular - Growth,Axis Mutual Fund,-11.71,-0.076,4.802,1.38,-51.68,2.5,20.0,10.0,60.0,5.0,17.2
100016,HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund,1.29,-0.202,3.748,1.55,-24.73,15.0,15.0,5.0,22.5,17.5,14.4
102886,UTI Mid Cap Fund - Regular - Growth,UTI Mutual Fund,-0.77,-0.206,2.897,1.51,-28.0,10.0,12.5,2.5,41.25,15.0,14.3
